Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,1.02E-06,9.61E-09,1.69E-08,3.15E-08,6.95E-09,5.44E-09,1.37E-08
2,9.03E-07,8.52E-09,1.49E-08,2.78E-08,6.34E-09,5.07E-09,1.25E-08
2,7.93E-07,7.49E-09,1.30E-08,2.43E-08,5.75E-09,4.71E-09,1.14E-08
2,6.89E-07,6.53E-09,1.12E-08,2.10E-08,5.19E-09,4.35E-09,1.03E-08
2,5.92E-07,5.63E-09,9.58E-09,1.79E-08,4.66E-09,3.99E-09,9.27E-09
2,5.04E-07,4.81E-09,8.05E-09,1.51E-08,4.16E-09,3.63E-09,8.29E-09
2,4.24E-07,4.05E-09,6.65E-09,1.25E-08,3.68E-09,3.28E-09,7.35E-09
2,3.51E-07,3.36E-09,5.38E-09,1.01E-08,3.22E-09,2.93E-09,6.46E-09
2,2.86E-07,2.75E-09,4.25E-09,8.01E-09,2.79E-09,2.59E-09,5.61E-09
2,2.26E-07,2.20E-09,3.25E-09,6.14E-09,2.38E-09,2.24E-09,4.79E-09
2,1.76E-07,1.71E-09,2.39E-09,4.53E-09,1.99E-09,1.90E-09,4.01E-09
2,1.32E-07,1.30E-09,1.67E-09,3.17E-09,1.61E-09,1.56E-09,3.26E-09
2,9.46E-08,9.40E-10,1.08E-09,2.07E-09,1.25E-09,1.23E-09,2.53E-09
2,6.38E-08,6.38E-10,6.32E-10,1.22E-09,9.03E-10,8.93E-10,1.83E-09
2,3.75E-08,3.79E-10,3.12E-10,6.14E-10,5.64E-10,5.62E-10,1.15E-09
2,1.49E-08,1.52E-10,1.05E-10,2.11E-10,2.32E-10,2.32E-10,4.72E-10
2,6.12E-09,6.25E-11,4.25E-11,8.43E-11,9.58E-11,9.56E-11,1.94E-10
2,2.76E-08,2.80E-10,2.13E-10,4.22E-10,4.22E-10,4.21E-10,8.58E-10
2,5.16E-08,5.18E-10,4.77E-10,9.26E-10,7.50E-10,7.45E-10,1.52E-09
2,7.96E-08,7.92E-10,8.60E-10,1.65E-09,1.08E-09,1.07E-09,2.19E-09
2,1.13E-07,1.11E-09,1.37E-09,2.60E-09,1.42E-09,1.39E-09,2.88E-09
2,1.52E-07,1.48E-09,2.00E-09,3.79E-09,1.77E-09,1.70E-09,3.57E-09
2,1.97E-07,1.91E-09,2.76E-09,5.20E-09,2.13E-09,2.02E-09,4.29E-09
2,2.48E-07,2.39E-09,3.63E-09,6.84E-09,2.50E-09,2.34E-09,5.03E-09
2,3.06E-07,2.93E-09,4.63E-09,8.69E-09,2.88E-09,2.65E-09,5.79E-09
2,3.70E-07,3.53E-09,5.73E-09,1.07E-08,3.29E-09,2.96E-09,6.57E-09
2,4.40E-07,4.19E-09,6.95E-09,1.30E-08,3.70E-09,3.27E-09,7.38E-09
2,5.15E-07,4.90E-09,8.26E-09,1.54E-08,4.14E-09,3.58E-09,8.23E-09
2,5.96E-07,5.66E-09,9.68E-09,1.80E-08,4.59E-09,3.89E-09,9.10E-09
2,6.84E-07,6.48E-09,1.12E-08,2.08E-08,5.06E-09,4.19E-09,1.00E-08
2,7.77E-07,7.34E-09,1.28E-08,2.37E-08,5.55E-09,4.50E-09,1.09E-08
2,8.75E-07,8.25E-09,1.45E-08,2.68E-08,6.06E-09,4.81E-09,1.19E-08
2,9.77E-07,9.21E-09,1.62E-08,3.00E-08,6.59E-09,5.11E-09,1.29E-08
2,1.08E-06,1.02E-08,1.81E-08,3.33E-08,7.14E-09,5.42E-09,1.39E-08
2,1.19E-06,1.12E-08,2.00E-08,3.68E-08,7.70E-09,5.72E-09,1.49E-08
2,1.31E-06,1.23E-08,2.19E-08,4.03E-08,8.28E-09,6.03E-09,1.60E-08
2,1.42E-06,1.34E-08,2.39E-08,4.39E-08,8.88E-09,6.34E-09,1.71E-08
2,1.54E-06,1.46E-08,2.60E-08,4.76E-08,9.49E-09,6.64E-09,1.82E-08
2,1.67E-06,1.57E-08,2.81E-08,5.13E-08,1.01E-08,6.95E-09,1.94E-08
2,1.80E-06,1.69E-08,3.02E-08,5.50E-08,1.08E-08,7.47E-09,2.05E-08
2,1.92E-06,1.81E-08,3.24E-08,5.88E-08,1.14E-08,7.99E-09,2.17E-08
2,2.05E-06,1.93E-08,3.46E-08,6.26E-08,1.21E-08,8.52E-09,2.29E-08
2,2.19E-06,2.06E-08,3.68E-08,6.64E-08,1.28E-08,9.04E-09,2.41E-08
2,2.32E-06,2.18E-08,3.90E-08,7.02E-08,1.34E-08,9.57E-09,2.53E-08
2,2.46E-06,2.31E-08,4.13E-08,7.40E-08,1.41E-08,1.01E-08,2.65E-08
2,2.60E-06,2.44E-08,4.35E-08,7.78E-08,1.48E-08,1.06E-08,2.77E-08
2,2.74E-06,2.57E-08,4.57E-08,8.15E-08,1.56E-08,1.11E-08,2.89E-08
2,2.87E-06,2.69E-08,4.79E-08,8.51E-08,1.63E-08,1.16E-08,3.01E-08
2,3.01E-06,2.82E-08,5.01E-08,8.87E-08,1.70E-08,1.21E-08,3.14E-08
2,3.14E-06,2.95E-08,5.22E-08,9.22E-08,1.77E-08,1.26E-08,3.26E-08
2,3.28E-06,3.07E-08,5.44E-08,9.57E-08,1.84E-08,1.31E-08,3.38E-08
2,3.41E-06,3.20E-08,5.64E-08,9.90E-08,1.91E-08,1.35E-08,3.50E-08
2,3.54E-06,3.32E-08,5.85E-08,1.02E-07,1.99E-08,1.40E-08,3.62E-08
2,3.67E-06,3.44E-08,6.05E-08,1.05E-07,2.06E-08,1.44E-08,3.73E-08
2,3.80E-06,3.56E-08,6.24E-08,1.08E-07,2.13E-08,1.48E-08,3.85E-08
2,3.92E-06,3.68E-08,6.43E-08,1.11E-07,2.20E-08,1.52E-08,3.96E-08
2,4.04E-06,3.80E-08,6.62E-08,1.14E-07,2.27E-08,1.56E-08,4.08E-08
2,4.16E-06,3.91E-08,6.79E-08,1.17E-07,2.34E-08,1.59E-08,4.18E-08
2,4.28E-06,4.02E-08,6.96E-08,1.19E-07,2.41E-08,1.62E-08,4.29E-08
2,4.39E-06,4.13E-08,7.13E-08,1.21E-07,2.48E-08,1.65E-08,4.40E-08
2,4.50E-06,4.23E-08,7.28E-08,1.24E-07,2.54E-08,1.67E-08,4.50E-08
